is_spam,body
0,【***】您正在申请在线身份认证，验证码：****，有效时间为5分钟。若非您本人或授权操作，请及时致电*****
0,【***】亲情账户**（***********）本次用车已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
1,【***】***元、***元加油券包，通通只要一分钱！加完油再抽锦鲤大奖，****中奖！立即参与************************
0,【***】截至本月06日，您有****积分。请点击*************************************或通过“中国******可用积分”登录积分商城查询、使用积分【***】
0,【***】尊敬的客户，截止到****年03月，您的手机（***********）账户有19积分将于本年度03月31日到期，到期后将自动清零，建议您尽快使用。查询积分余额及兑换积分产品您可发送“****”到*****，或点击链接***********************************************************进行兑换，更多业务您可登陆“中国**”***查询。感谢您对积分业务的支持。【***】
0,尊敬的客户，您的****年04月话费账单已经上传至您的个人云盘，点击前往查看：*****************************回关闭通知【***】
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【***】验证码：******，您正在新设备上登录。请确认本人操作，切勿泄露给他人，如非本人操作请修改密码。**工作人员绝不会索取此验证码。
1,【***】7折同城急送全城！均一小时可达。又快又稳还特惠，送给家人朋友、客户倍有面！充值更优惠哟T
1,【***】全新“京彩生活”手机银行******携运动装备、地铁周卡、外卖券、电影券等多重好礼全新来袭，8大专属活动等您来！全新升级“京彩”体验，尽在京彩生活***************************************************************详情见***“京彩启新篇敬呈8重礼”页面。
1,【***】您有10元以上打车金可领取，无门槛抵车费，速戳**************************。R
1,【***】送你***元机票券包，机票/火车/酒店全都有，3天有效哦************************。
0,【***】你在高德打车预约的从漫功夫精致足道(西直门旗舰店)到**(西门)的出行服务，将由旗妙出行提供。司机余师傅将在03月02日15点15分前来接你，创维汽车·***，京*******，详情请打开高德地图查看。
0,【***】验证码：*******。您正在使用登录功能，验证码提供他人可能导致百度账号被盗，请勿转发或泄漏。
0,【服务密码变更提醒】尊敬的客户，您好！您尚未修改手机号码的初始服务密码。服务密码是您办理业务的重要凭证，为确保您的个人信息安全，建议您发送****空格原密码空格新密码至*****，或者拨打*****根据语音提示进行修改。【***】
0,【***】点击链接加入会议“招证国际-招商局资本王荣会议”：*********************************************
0,市气象台18日17时发布:今天夜间阴有阵雨或雷阵雨南转北风二三间四级最低气温18度;明天白天阴有阵雨转晴北风二级转四五级（阵风七级左右）最高气温28度.详查*****
0,市气象台1日6时发布：今天白天多云转阴，北转南风二三级，最高气温17度；夜间阴转小雨，南转北风一二级，最低气温8度。拨*****按2号键，可零距离听气象专家解读今日天气和未来趋势。如不需要早间天气信息请回复*****
0,国泰民安，人人之所愿；安全守护，个个皆可为。4月15日是第十个全民国家安全教育日。让你我携手，共同守护国家安全。
1,【***】截至本月20日，您有****积分，***积分月末失效，其中0定向积分。兑数据线、耳机等好礼立抵50元！请点击******************登录中国*****进行积分兑换【***】
0,【***】民政部提醒：谨防非法社会组织假借扶贫济困、突发事件等，开展非法募捐、非法集资等违法犯罪活动，公众可到中国社会组织动态政务微信查验真伪及举报。
0,【***】**购票成功，2月10日*****次，北京南站*****开。铁警提示与详情*********************
1,【*************】悄悄给你的福利：只需***元，人气饮品任选！升级***至最新版本可享
1,【***】参保开始啦！政府指导放心投！累计享***万保额，点*****************或搜北京普惠健康保公号投，R
0,外交部全球领事保护与服务应急呼叫中心电话*********************。驻泰国使馆************，驻清迈总领馆*************，驻宋卡总领馆*************，驻孔敬总领馆*************，驻普吉领事办公室*************。
0,市气象台26日6时发布:今天白天晴间多云北转南风二三级最高气温5度;夜间晴转多云南转北风一二级最低气温零下5度.详查*****
0,订单由高振威送出，电话***********，请您保持电话畅通，祝您身体健康，实时位置戳****************。【***】
0,【***】验证码****，您正在注册成为新用户，感谢您的支持！
1,【***】⭐今晚20点双旦大促！“洗发水”活动凑单低至****起！买2送礼戳*******************R
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【***】您的小型汽车京******于****年11月30日8时21分在兴光二街未按规定停放已被记录，请立即驶离，未及时驶离的，将依法予以处罚，谢谢配合!
0,十月的阳光，弥漫着喜庆；十月的微风，激荡着心情；十月的天空，展现着美好；十月的烟花，绽放着美景！山野全体人员和朋友们一起欢度国庆！
0,市气象台28日6时发布:今日是腊月二十三小年.白天晴间多云北转南风二三级最高气温6度;夜间晴转多云南转北风一二级最低气温零下4度.详查*****
0,【**云盘使用账单】尊敬的用户，您的****年11月**云盘使用账单已送达，当前使用空间*****，了解更多信息请点击查看***************************************打开***可查看话费账单************************R【中国******邮箱】
1,【***】(初三升高一)数理化英全科，全是毕业班好老师，1对3效果更有保障。提前学习，单科领先28分，高一更轻松。********取关N
0,【***】尊敬的客户，中国**邀您查看1月通信账单，请点击**************************
0,【***】截至12月30日24时，您当月套餐内国内通用流量已用*******，剩余********；其他流量使用情况请点击进入*************************查询详情。【***】
0,【***】亲情账户**（***********）本次用车已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
1,【***】尊敬的贵宾，喜迎28周年公司答谢，回复姓名+年龄可得蔬菜一箱、水果一箱，柴鸡蛋一箱，高端养老社区参观券一张及出行险，R
0,【***】“码”上见行动，“码”上显担当。进入各类公共场所、乘坐公共交通工具时，请您主动扫码，配合查验72小时内核酸阴性证明。你我共同行动，守护无“疫”生活。
1,【***】亲爱的客户，邀您参与赛默飞“镜赛时刻由你捕捉”活动，晒晒身边的赛默飞，轻松赢取酶标仪、分光光度计等7款赛默飞新机和投影仪等多种好礼！***************************，立刻参与活动！R
0,********************************************************************************************************************************************
0,温馨提示：您上月结转剩余国内共享流量*********，本月月底前有效。点击进入**************************查询详情。
1,【***】您有一张限时领取的8元支付贴金券将于****年9月30日失效。点击********************或登录交通银行手机银行***搜“月月有礼”参与。特邀客户专享，转发无效，如已使用请忽略。详询*****，R。
1,【***】环球中国年，环球影城限定新品四人同行至多约享8折，单张***元起*****************
0,【***】亲情账户**（***********）本次用车已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
1,【***】您有影视资源待转存→《前任4：英年早婚》等大片上新，转存完整大片后可长久观看。点击**************************马上观影，回Q关闭通知【中国******邮箱】
1,【*************】上新了，****午餐！4款美味5折尝新。下载***立享*********************
1,【***】新冠抗原检测试剂，低至****人份！现货到仓，速抢→*****************************
0,市气象台16日17时发布：今天夜间晴间多云，南转北风一二级，最低气温19度；明天白天晴转多云，西部北部有雷阵雨，北转南风二三间四级，最高气温33度。详查*****
0,【***】亲情账户**（***********）本次用车已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
1,【***】*****大促直降叠2件9折，星品不止5折，会员叠享满***减70，抓紧抢购*****************回T退
1,【***】杞里香15周年年中钜惠！超品日首发新品原浆****抢，默小吉原浆首日加赠2盒，满***减20，全场低至****起！速抢！
0,【***】验证码：******。此验证码只用于进行短信登录，15分钟内有效
0,市气象台29日6时发布:今天白天晴转阴有小雪北转南风二三级最高气温3度;夜间阴有小雪转多云南风二级左右最低气温零下4度.拨*****按2号键可零距离听气象专家解读今日天气和未来趋势.如不需要早间天气信息请回复*****
0,【***】验证码：******。此验证码只用于进行短信登录，15分钟内有效
0,【北京石景山游乐园】您的验证码为******请勿泄漏给他人。
0,【***】尊敬的客户，您尾号为****快递将由赵计主投递，电话***********。疫情期间请做好签收后的消杀防护措施。
0,【***】“煑山川河鲜火锅”请您******周三******来店就餐！行程有变请在******周三******前取消订单。
1,【***】商品好用吗？你的评价很重要哦～***********************
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,截至当前，您账户内的套餐使用情况如下：****共享余量****流量*****畅爽冰激凌***元（首月全量全价）***套内国内流量***********共***********已用************【**智家-臻******】*****套餐宽带基本产品光宽带***（北京）全国流量（****）-次月生效***套内国内流量***********共***********已用***************结转套餐流量***畅爽冰激凌***元（首月全量全价）****共***********已用************结转套餐流量(【**智家-臻******】*****套餐宽带基本产品光宽带***（北京）全国流量（****）-次月生效****共***********已用*****************语音*****畅爽冰激凌***元（首月全量全价）***语音*****分钟****共****分钟已用0分钟******【**智家-臻******】*****套餐宽带基本产品光宽带***（北京）全国语音包（****分钟）-次月生效***语音*****分钟****共****分钟已用30分钟*******短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条*******本号码非共享余量****短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条******查询更多套餐余量使用情况，请访问中国******地址【***********************】进行查询。***回复“****”，查看流量半年包余量。***回复“****”，查看手机上网流量。***让服务更有温度！使用中国*****，足不出户办业务、交话费，指尖一点查余额、查流量，点击*************************，畅享便利【***】
0,截至当前，您账户内的套餐使用情况如下：****共享余量****流量***北京国内0元****流量包***套餐内流量***********共***********已用******************畅爽冰激凌***元（首月全量全价）***套内国内流量***********共***********已用************结转套餐流量***畅爽冰激凌***元（首月全量全价）****共***********已用*************语音***全家福***********专属****分钟全国语音***语音*****分钟****共****分钟已用0分钟********畅爽冰激凌***元（首月全量全价）***语音*****分钟****共****分钟已用49分钟*******短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条*******本号码非共享余量****短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条******查询更多套餐余量使用情况，请访问中国******地址【***********************】进行查询。***回复“****”，查看流量半年包余量。***回复“****”，查看手机上网流量。***让服务更有温度！使用中国*****，足不出户办业务、交话费，指尖一点查余额、查流量，点击*************************，畅享便利【***】
0,【***】验证码：*******。您正在使用登录功能，验证码提供他人可能导致百度账号被盗，请勿转发或泄漏。
0,序号01的验证码******，您向**尾号****账户转账*********元。任何索要验证码的都是骗子，千万别给！[建设银行]
1,【***】恭喜您升级为专车银卡会员，累计里程可兑换好礼，查看更多特权：******************
1,【***】尊敬的用户您好，感谢您对**药急送的支持，为了提供更好的服务，诚邀您参加**药急送用户体验调研，请您花一到两分钟，告诉我们您近期在**药急送购买商品的体验，请点击*************
0,【***】阿尔法蛋欢迎您，您验证码是****，5分钟内有效。如非本人操作请忽略此短信！
0,【***】亲情账户亲人1（***********）本次用车已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
0,【***】亲爱的********，您的订单已确认收货，点击领京豆***************限时领取加赠30京豆，已领取请忽略，
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,生活因劳动而变好，人生因劳动而充实。五一劳动节健康快乐！山野控制阀小谢向努力拼搏的您说一句：节日快乐！
0,【***】您尾号为****普卡于22年10月4日*****通过财付通支付科技有限公司支付支出****元。活期余额*******元。对方账号尾号*****。对方户名:北京轨道交通互联网票务。网联平台协议支付
1,【***】送您高达***元停车券！即送即用，无门槛无限时，多者可免费停车***小时，搜索“****停车”小程序，限时立抢！T
0,【***】您于*******************出行的订单已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
0,【***】验证码*******，用于订单查询业务，有效期5分钟，请在业务办理页面中输入验证码完成验证。请勿将验证码泄露给他人，以保证您的账户安全。
1,【***】明日直播！新精活、大麻等检测与鉴定，政法大学教授等专家多方向多技术分享，报名*********************
1,【***】您有专车里程未兑换，最低28里程可兑换好礼，点击进入里程商城**************************退订
0,【***】您预定的车辆已到达指定位置，(黑色索纳塔，京*******，贾师傅电话：***********，祝您用车愉快！
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
1,【***】***活动！最多3年***免费用！签到送钱！动动手就得***元！秒提现，快快快！*****************R
0,【***】尊敬的动感地带（***********）客户，您07月01日***月31日共消费*****元，其中他人代付*****元，实际应付****元。主要消费项目包括：***套餐及固定费*****元；***增值业务费*****元。查询费用详情，请点击**************************，账单页面访问免流量，更多信息可详询*****。心级服务，让爱连接！【***】
1,【***】尊敬的用户，送您20元话费充值券，点击收下**************如已领取请忽略，
1,【***】超级星期五“女神节”，给您好听又好看！懒人听书、蜻蜓FM、腾讯视频、喜马拉雅等平台会员年卡、月卡、周卡大派送，经典书籍、精品课程、热门好剧等您观听，快来领取吧。微信关注“中国**北京客服”公众号，通过“5G·福利”-“超级星期五”菜单即可参与。
0,【***】您于*******************出行的订单已结算成功，金额为*****元（已参与充返，相当于*****元）。如有疑问，请登录***查看，感谢您的支持
0,【***】***************已妥投（家门口）详询快递员陈新乐************客服***********
0,【***】尊敬的用户您好，您原定于***********去往北京市建华实验学校(南1门)的行程，首约司机张师傅车牌号京*******手机号码***********为您服务，您也可以在乘客端使用IM与司机提前沟通。感谢您对首约的信任。
0,【***】验证码：******。此验证码只用于登录微博验证身份，请勿转发他人，10分钟内有效。
0,【***】交管部门提示您：3月7日周一，全国两会、冬残奥会正在举行，又适逢机动车4、9尾号限行，学校周边和市区环路、联络线、高速公路交通流集中，早高峰交通压力大。请市民朋友们关注交管部门出行提示，提前安排出行计划，尽量选择绿色出行、错峰出行。感谢您的支持和配合。
1,【***】您的话费立减权益尚未使用，本月底前有效，现在登录手机银行-我的-我的奖品或点击****************************使用。本月首充更享****元随机立减。至本号码。
0,【***】截至03月31日24时，您当月套餐内国内通用流量已用*******，剩余********；其他流量使用情况请点击进入*************************查询详情。【***】
1,【***】送您专属礼！提升古文阅读能力，打好文言文基础，限时***→***************************R
1,【领1T空间****流量】惊喜派送中，中国**云盘上传下载***流量0元领，做任务，还能领****年个人云空间，每人限领一次，快戳*****************************如已领，请忽略。回T关闭通知【***】
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【***】北京反诈中心提示：谨防**网络诈骗，购物退款要联系官方客服，买卖游戏装备要在官方平台，凡是自称注销征信记录的都是诈骗，谨记*****反诈专线。
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【我已预订【羲和雅苑烤鸭坊（中关村店）】桌位，邀请您同享！】时间：****年03月03日*****（周四），*****，4人就餐***********************************************************************************
1,【***】即日起至****年3月31日每周三和周六，登录工银e生活***，在指定商超门店使用绑定62开头工银银联信用卡（不含双币卡）的付款码支付，即有机会享受单笔满***元立减30元优惠。活动详情可登录工银e生活***生活页-周周乐查询。优惠名额有限，先到先得。编辑短信***回复至*****下载工银e生活***。。工银信用卡【***】
0,截至当前，您账户内的套餐使用情况如下：****共享余量****流量***北京国内0元****流量包***套餐内流量**********共***********已用*****************畅爽冰激凌***元（首月全量全价）***套内国内流量**********共***********已用************结转套餐流量***畅爽冰激凌***元（首月全量全价）****共***********已用*************语音***全家福***********专属****分钟全国语音***语音*****分钟****共****分钟已用0分钟********畅爽冰激凌***元（首月全量全价）***语音*****分钟****共****分钟已用35分钟*******短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条*******本号码非共享余量****短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条******查询更多套餐余量使用情况，请访问中国******地址【***********************】进行查询。***回复“****”，查看流量半年包余量。***回复“****”，查看手机上网流量。***【让服务更有温度！使用中国*****，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击*************************，马上拥有】
0,【***】感谢您选择卡尤迪旗舰店，此订单服务的门店为西城区南礼士路儿童医院店，地址：北京西城区二环到三环南礼士路儿童医院院外东门北侧入口亮眼健康旁边，联系电话：**********；您已成功下单，验证码：*************，请在**********之前凭此短信到店享受服务。商品名称：卡尤迪核酸检测***小时出中英文报告无需预约同步健康宝团体可上门检测定点检测定点检测。
1,【***】重要通知！****北京首场国际环保盛会-中国国际环保展和第五届生态环保产业创新发展大会将于4月13日在北京老国展盛大开幕！****国内外知名企业汇聚一堂，***分论坛精彩纷呈。关注微信******免费预约参观参会，咨询************。T
0,又逢清明至，祭奠重在心。市清明祭扫服务工作指挥部提醒您：现场祭扫要错峰，网络祭扫更方便，绿色出行少拥堵。禁止烧纸和焚香，安全平安千万家；慎终追远祭先人，文明祭扫树新风。感谢市民理解支持！
0,您尾号****信用卡1月4日*****支出(消费**支付-网银在线（北京）科技有限公*******元。【***】
0,公益短信：飞播造林建设绿水青山，牢记宗旨助力脱贫攻坚。中宣部授予空军某运输搜救团一大队“时代楷模”称号，褒扬他们是“助力脱贫攻坚的飞播绿鹰”，号召全社会向他们学习。
0,截至当前，您账户内的套餐使用情况如下：****共享余量****流量***北京国内0元****流量包***套餐内流量**********共***********已用*****************畅爽冰激凌***元（首月全量全价）***套内国内流量**********共***********已用************结转套餐流量***畅爽冰激凌***元（首月全量全价）****共***********已用*************语音***全家福***********专属****分钟全国语音***语音*****分钟****共****分钟已用0分钟********畅爽冰激凌***元（首月全量全价）***语音*****分钟****共****分钟已用23分钟*******短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条*******本号码非共享余量****短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条******查询更多套餐余量使用情况，请访问中国******地址【***********************】进行查询。***回复“****”，查看流量半年包余量。***回复“****”，查看手机上网流量。***【抗击疫情，服务不停！使用中国*****，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击*************************，马上拥有】
0,"【***】恭喜您完成绑定，检测人：**，条码号：************，检测报告会以短信形式及时通知您，关注微信公众号""卡尤迪医学检验实验室""，通过点击""售后服务""进行报告查询及开票申请，也可通过“北京健康宝”点击“核酸疫苗服务查询”查询结果。"
0,【***********】使用********作为***********产品的代码
1,【康乐保自营旗舰店】年货节直降叠加每满***减40，1月10日-1月13日。到康乐保自营旗舰店铺首页****************回复T退
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【***】尊敬的5G用户，截至11月13日24时，您当月共享国内通用流量已用*******；查询流量使用详情请点击**************************，一键订购流量包请点击**************************（具体规则详见订购页面）。【***】
1,【***】原本校班主任老师，现携阅卷老师进行课下辅导，签约保单科提*****分，不提分不收费剩4人咨***********N
0,【四川大学校友总会】明月传情，满天星辰相伴，天涯共饮；情思遥寄，四海校友一家，中秋同度。校友总会祝海内外校友中秋快乐，阖家团圆！
1,您好！各种国际大品牌。爱马仕、普拉达、LV、古驰、劳力士等，有意请+微&信***********支持到付，谢谢。
1,【***】恭喜您获得10元话费立减权益，本月登录手机银行→生活→京城福利社或点击***********************************领取，数量有限，先到先得。仅限受邀客户参与。至本号码。
0,【***】截至05月10日24时，您当月共享国内通用流量已用*******，剩余*********；其他流量使用情况请点击进入*************************查询详情。【***】
1,【***】明天就是会员日啦，当天可领取专属会员日礼券，不要错过哦！N。
1,【***】尊敬的出租车乘客，诚邀您参与调研，以便服务改进：*****************退订
1,【***】领取好运！送您一张太平洋影城会员14天体验卡，邀您享太平洋影院观特惠观影权益，请登录猫眼***—我的—影城卡查收。R
0,【***】您的亲情账户首汽用户*************已取消行程。
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【***】下载提示：该素材为企业专享素材，您正在使用个人***下载服务，下载后不得为所在所在单位公司使用，如有需要请获取企业授权！
1,【***】老用户福利~知犀专业版限定终身会员上线啦，共****套！抢先新功能，还有专属唯一编号铭牌，点***************抢先参与
0,【***】您的服务单********已安排退款，款项将返还到您的原支付账户，请注意查收（如涉及多件商品或赠品，款项可能分多次到账）。微信关注“**售后”，售后进度随时查看，也可点击*************进行查询。
0,您尾号****信用卡11月10日*****支出(消费美团支付-美团特约商户****元。【***】
0,【***】菁师帮验证码：******，请您在5分钟内填写。
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
1,【***】送您58减20金秋福利！爆品秒杀低至1元，常备药品满79减40，同仁堂阿胶****仅***元**************
0,【***】域名备案验证码：******请在30分钟完成输入
0,【**健康互联网医院】您好，王艳医生已经接诊，请您及时与医生沟通病情**************。
1,【***】我是本校数学组张老师和各科老师出来对学生辅导，单科提*****分历年提分率*****达效果再收费，咨询***********，退回T
0,市气象台24日17时发布：今天夜间晴，北风三四级转一二级，最低气温零下5度；明天白天晴，北转南风二三间四级，最高气温3度。拨*****按2号键，可零距离听气象专家解读今日天气和未来趋势。如不需要晚间天气信息请回复*****
0,【***】您于*******************出行的订单已结算成功，金额为*****元。如有疑问，请登录***查看，感谢您的支持。
0,温馨提醒：疫情防控，人人有责。请您自觉遵守首都防疫规定，14日内有1例及以上本土病例所在县、陆路边境口岸所在县旅居史或与涉疫风险人员有接触史的，严格限制进返京。如已抵京，请尽快向社区及单位报告，配合落实防疫措施。不报、瞒报、谎报涉疫信息或不配合防疫工作的，将依法追究责任。北京防控办
0,【***】微信小程序手机号验证码：******，10分钟内有效。为保护账号安全，请勿泄漏。
0,中国**来电提醒业务提醒您：北京北京用户***********在****年05月16日***时11分给您来电，请及时回复。
0,您尾号****卡4月18日*****快捷支付支出(消费支付宝-智行*******元。回复***了解信用卡****【***】
0,市气象台23日17时发布:今天夜间多云转阴西部北部有雷阵雨南转东风二三级最低气温15度;明天白天阴有小到中雨东风二级转北风四级左右最高气温19度.详查*****
1,【心级服务让爱连接】尊敬的客户您好，感谢您选择中国**家庭宽带！诚邀您成为优质服务体验官，9月15日前回复短信参与活动，回答***道问题领取***流量礼包。【Q】结合您的上网体验，请问您对中国**家庭宽带的上网质量是否满意？请选择****非常满意***满意***一般***不满意***非常不满意
1,【***】我是王老师，已带8届毕业班，语数英点题，重方法教技巧，学会一道题会做同类题，5次课超越***同学，询***********退订T
0,【***】尊敬的5G用户，截至03月20日24时，您当月共享国内通用流量已用********；查询流量使用详情请点击**************************，一键订购流量包请点击**************************（具体规则详见订购页面）。【***】
1,【***】恭喜您入选江苏银行随e贷特邀名单，银行产品安全正规，年化利率低至*****（单利计算），最高可贷20万，随借随还，无提前还款手续费，5分钟快速放款。激活额度立得30元**支付券，本活动仅限通过此链接参与*****************（以实时审批为准）
0,北京市反诈中心、北京市通信管理局提示您：临近双十一、双十二购物节，冒充电商物流客服诈骗高发。当您接到电话、短信声称您的商品存在质量问题、快递丢失或开通***时，请勿轻易相信，更不要向他人透露银行卡等个人信息。遇到此类情况请通过官方渠道核实，谨防被骗！
0,【***】您的亲情账户*************正在用车，如有疑问，可以在****客服中心-在线客服处获得帮助。
0,【***】抢票订单退款***元，***个工作日到账。订单号：******************。
0,市应急管理局提示您：市气象台7月5日7时已发布高温橙色预警信号，预计***日本市最高气温可达*****℃。请您做好防暑降温措施，注意节水节电。建议高温时段停止户外作业，减少户外活动，谨防中暑和热射病。
0,市应急管理局提示您：市气象台****年6月30日7时升级发布高温橙色预警信号，预计6月30日和7月1日本市大部分地区最高气温可达*****℃。请您做好防暑降温措施，注意节水节电。建议高温时段停止户外作业，减少户外活动，谨防中暑和热射病。中小学、幼儿园高温时段停止室外活动。
0,截至当前，您账户内的套餐使用情况如下：****共享余量****流量***北京国内0元****流量包***套餐内流量***********共***********已用******************畅爽冰激凌***元（首月全量全价）***套内国内流量***********共***********已用************结转套餐流量***畅爽冰激凌***元（首月全量全价）****共***********已用*************语音***全家福***********专属****分钟全国语音***语音*****分钟****共****分钟已用0分钟********畅爽冰激凌***元（首月全量全价）***语音*****分钟****共****分钟已用66分钟*******短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条*******本号码非共享余量****短信***短信网龄升级计划（按开户时间）***国内短信****条****共***条已用0条******查询更多套餐余量使用情况，请访问中国******地址【***********************】进行查询。***回复“****”，查看流量半年包余量。***回复“****”，查看手机上网流量。***【让服务更有温度！使用中国*****，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击*************************，马上拥有】
1,【***】晚8点狂欢开启，部分爆款低至6折，限时***元秒杀，爆款绑赠洁厕刷*****************回T退
1,【***】倒计时1天！1个主会场***个平行论坛，****仪器展商！第十六届中国科学仪器发展年会（*********）明日开幕！大会日程抢先看：********************
1,【***】喜玉海参X**家政！喜玉海参限时低至***元！另送**家政服务优惠券！*****************
0,【***】验证码******，您正在登录多点账户，请勿转发或泄露。任何索要验证码的，疑为诈骗。唯一客服热线：**********。
1,【***】五一嗨购，微信商城放“价”啦！家电清洁保养，推荐您使用原厂清洁产品&上门服务，保持家电洁净活力。专业工程师深度清洁更换配件，细致洗护不伤机体。即刻下单，满***元送冰箱除味盒，限量速抢！*************************
0,【***】蒙灿羊绒制品：您的包裹已由中通快递揽收，详情点击****************
0,【***】您正在操作《民用无人驾驶航空器综合管理平台》，短信验证码为******，如果不是您本人操作，请忽略该信息。
0,【***】尊敬的**，请查收您持有的基金三季报解读：************************************R
1,【***】尊敬的客户，因净值型理财产品转型，我行调整理财产品的估值方法及分红规则。您所持有的“远见半年开放2号”理财产品（**********）投资收益将统一调整为开放日分配，您可在产品开放预约期及开放日当日进行申赎，价格以开放日当日收市后单位净值作为基准计算。详情请咨询理财经理或关注我行理财产品公告。*******
1,【北京**客户俱乐部】“百万会员福利月”主题活动持续进行中！即日起至7月25日，幸运刮刮卡活动强势接档！喜马拉雅***会员年卡、中国*******积分、车点点洗车卡、爱奇艺***会员月卡、新氧生活课程抵扣券、途牛出行礼包等您来抽取！您可微信关注“中国**北京客服”，输入关键字“百万会员”参与活动！也可点击*************************直达活动现场！
1,【***】8折完单奖励已到账！首汽约车助力夏日清凉出行，您可登录****查看R
0,【***】市防汛办26日16时启动全市防汛蓝色预警响应，请各有关单位做好防汛准备和应急处置工作，请广大市民关注气象预报预警，注意避雨避险，确保安全。
1,【***】我是张老师，带12届毕业班！和同事对语数英薄弱的学生保目标辅导，单科冲刺95分以上，不满意不收费，电话***********退回T
